Royal Kludge RK61 Plus Tri Mode RGB Hot Swap (Blue Switch) Black Mechanical Gaming Keyboard	5,450
Royal Kludge RK89 Tri Mode RGB Hot Swap (Lemon Switch) White Mechanical Gaming Keyboard	5,475
Redragon DEVARAJAS K556 RGB (Brown Switch) Black Wired Mechanical Gaming Keyboard	5,500
Fantech MK882 Pantheon RGB Wired Black Mechanical Gaming Keyboard	5,600
Royal Kludge RK 100 Tri Mode RGB Hot Swap (Red Switch) Black Mechanical Gaming Keyboard	5,600
Royal Kludge RK 100 Tri Mode RGB Hot Swap (Red Switch) White Gaming Keyboard	5,600
Royal Kludge RK 100 Tri Mode RGB Hot Swap (Blue Switch) Black Gaming Keyboard	5,600
Royal Kludge RK 100 Tri Mode RGB Hot Swap (Brown Switch) Black Gaming Keyboard	5,600
Gamdias HERMES P3 RGB Wired Black Mechanical Gaming Keyboard	5,650
Royal Kludge RK 98 Tri Mode RGB Hot Swap (Brown Switch) Black Mechanical Gaming Keyboard	5,700
Royal Kludge RK 98 Tri Mode RGB Hot Swap (Blue Switch) Black Mechanical Gaming Keyboard	5,700
Royal Kludge RK 98 Tri Mode RGB Hot Swap (Red Switch) Black Mechanical Gaming Keyboard	5,700
Royal Kludge RK 98 Tri Mode RGB Hot Swap (Brown Switch) White Mechanical Gaming Keyboard	5,700
Royal Kludge RK 98 Tri Mode RGB Hot Swap (Blue Switch) White Mechanical Gaming Keyboard	5,700
Royal Kludge RK 98 Tri Mode RGB Hot Swap (Red Switch) White Mechanical Gaming Keyboard	5,700
Fantech MK884 Optiluxs RGB Wired Black Mechanical Gaming Keyboard	5,800
Royal Kludge RK H81 Tri Mode RGB Hot Swap White Night Mechanical Gaming Keyboard	6,100
Royal Kludge RK H81 Tri Mode RGB Hot Swap (Blue Switch) White Night Mechanical Gaming Keyboard	6,100
Royal Kludge RK H81 Tri Mode RGB Hot Swap (Brown Switch) White Night Mechanical Gaming Keyboard	6,100
Skyloong SK64 (Panda) RGB Hot Swap (Blue Switch) White Mechanical Gaming Keyboard	6,100
Skyloong SK64 (Panda) RGB Hot Swap (Brown Switch) White Mechanical Gaming Keyboard	6,100
Fantech MK851 Black USB Wired Mechanical RGB Gaming Keyboard	6,200
Royal Kludge RK96 Tri Mode RGB Hot Swap (Red Switch) White Mechanical Gaming Keyboard	6,200
Royal Kludge RK96 Tri Mode RGB Hot Swap (Blue Switch) White Mechanical Gaming Keyboard	6,200
Redragon K643 RGB Wireless (Tri Mode) White Mechanical Gaming Keyboard #K643WGC-RGB-PRO	6,450
Skyloong SK71S Dual Mode RGB Hot Swap (Brown Switch) White Mechanical Gaming Keyboard	6,500
Skyloong SK71S Dual Mode RGB Hot Swap (Red Switch) White Mechanical Gaming Keyboard	6,700
Skyloong SK71S Dual Mode White (Blue Switch) RGB Mechanical Gaming Keyboard	6,700
Skyloong SK71S Dual Mode RGB Hot Swap (Red Switch) Black Mechanical Gaming Keyboard	6,700
Skyloong SK71S Dual Mode Black Hot Swap (Blue Switch) RGB Mechanical Gaming Keyboard	6,700
Skyloong SK71S Dual Mode Black Hot Swap (Brown Switch) RGB Mechanical Gaming Keyboard	6,700
Lenovo Legion K500 RGB (Red Switch) Iron grey Mechanical Gaming Keyboard #GY40T26478-3Y	6,900
Redragon K618 Horus RGB (Huano Red Switch) Wireless (Tri Mode) Black Mechanical Gaming Keyboard	6,950
A4tech Bloody S98 AVIATOR RGB (Red Switch) Hot Swap Wired Mechanical Gaming Keyboard	6,999
A4tech Bloody S98 NARAKA RGB (Red Switch) Hot Swap Wired Mechanical Gaming Keyboard	6,999
Skyloong SK96S Dual Mode RGB Hot Swap (Blue Switch) Black Mechanical Gaming Keyboard	7,200
Skyloong SK96S Dual Mode RGB Hot Swap (Brown Switch) Black Mechanical Gaming Keyboard	7,200
Corsair K65 RGB MINI Wired Mechanical (CHERRY MX Red Switch) White Gaming Keyboard #CH-9194110-NA	7,500
Corsair K65 RGB MINI Wired Mechanical (CHERRY MX Red Switch) Black Gaming Keyboard #CH-9194010-NA	7,500
